"","Plot","Yr","dwdC.tacre","dwdC.gm2","dwdC.Mgha","AGunderstoryC.tacre","BGunderstoryC.tacre","AGunderstoryC.gm2","BGunderstoryC.gm2","AGunderstoryC.Mgha","BGunderstoryC.Mgha","litterC.tacre","litterC.gm2","litterC.Mgha","foresttype"
"2860",50390,1996,3.220394,721.91572298,7.2191572298,1.159936,0.128882,260.02285312,28.89147794,2.6002285312,0.2889147794,13.159527,2949.97116759,29.4997116759,"alaska-yellow-cedar"
"2861",50390,2006,7.493426,1679.80130642,16.7980130642,1.052166,0.116907,235.86405222,26.20704219,2.3586405222,0.2620704219,11.640831,2609.52508527,26.0952508527,"alaska-yellow-cedar"
"2862",50390,2017,11.145613,2498.51206621,24.9851206621,0.965029,0.107225,216.33055093,24.03662825,2.1633055093,0.2403662825,11.77829,2640.3392693,26.403392693,"alaska-yellow-cedar"
"2863",50391,1997,10.444508,2341.34535836,23.4134535836,0.9791,0.108789,219.484847,24.38723013,2.19484847,0.2438723013,23.144785,5188.36645345,51.8836645345,"western-redcedar"
"2864",50544,2006,4.36238925,977.9167981725,9.779167981725,1.317496,0.14638875,295.34307832,32.8159660875,2.9534307832,0.328159660875,12.06768125,2705.2121058125,27.052121058125,"western-hemlock"
"2865",50544,2017,5.6407455,1264.485918735,12.64485918735,1.16139475,0.1290435,260.3498611075,28.927681395,2.603498611075,0.28927681395,13.2158585,2962.598999945,29.62598999945,"western-hemlock"
"2866",50546,1996,10.767007,2413.63995919,24.1363995919,0.972392,0.108044,217.98111464,24.22022348,2.1798111464,0.2422022348,24.694823,5535.83847191,55.3583847191,"western-hemlock"
"2867",50546,2007,39.684838,8896.15013446,88.9615013446,1.811392,0.201266,406.05974464,45.11779922,4.0605974464,0.4511779922,16.598285,3720.83754845,37.2083754845,"western-hemlock"
"2868",50546,2018,39.488016,8852.02854672,88.5202854672,1.802411,0.200268,404.04647387,44.89407756,4.0404647387,0.4489407756,16.598285,3720.83754845,37.2083754845,"western-hemlock"
"2869",50555,2013,1.451097,325.29241449,3.2529241449,1.884135,0.209348,422.36654295,46.92954116,4.2236654295,0.4692954116,10.733847,2406.20648199,24.0620648199,"sitka-spruce"
"2870",50569,1996,5.143018,1152.91034506,11.5291034506,1.141778,0.126864,255.95237426,28.43910288,2.5595237426,0.2843910288,28.553793,6400.90377681,64.0090377681,"western-hemlock"
"2871",50569,2009,8.461677,1896.85413309,18.9685413309,1.024563,0.11384,229.67628771,25.5195128,2.2967628771,0.255195128,12.266702,2749.82658734,27.4982658734,"western-hemlock"
"2872",50569,2020,7.861965,1762.41669405,17.6241669405,1.041079,0.115675,233.37867943,25.93086475,2.3337867943,0.2593086475,12.578284,2819.67392428,28.1967392428,"western-hemlock"
"2873",50623,2015,0.0006915,0.155013555,0.00155013555,0.4762085,0.052912,106.751659445,11.86128304,1.06751659445,0.1186128304,1.126657,252.56269969,2.5256269969,NA
"2874",50645,1998,3.447657,772.86126969,7.7286126969,1.136225,0.126247,254.70755825,28.30078999,2.5470755825,0.2830078999,19.478535,4366.50319095,43.6650319095,"alaska-yellow-cedar"
"2875",50645,2008,5.173072,1159.64755024,11.5964755024,1.063135,0.118126,238.32297295,26.48030542,2.3832297295,0.2648030542,11.324599,2538.63535783,25.3863535783,"alaska-yellow-cedar"
