"","Plot","Yr","LAT","LON","ELEV","Common.Name","biomass.Mg.ha.dead","biomass.Mg.ha.live","standingdead_C_Mg_ha","livetree_C_Mg_ha","carbonratio","BGtree_C_Mg_ha","foresttype","standingdead_C_gm2","livetree_C_gm2","BGtree_C_gm2","total_treeC_gm2","NPP_C_gm2y","Year_start_NPP","Year_end_NPP"
"190",942,2019,57.001969,-132.755875,1900,"western hemlock",3.10969730984102,128.244502082408,1.55484865492051,64.1222510412042,0.507,32.5099812778905,"western-hemlock",155.484865492051,6412.22510412042,3250.99812778905,9663.22323190948,NA,NA,NA
"191",942,2019,57.001969,-132.755875,1900,"mountain hemlock",83.7219685803837,567.356107157175,41.8609842901918,283.678053578588,0.478,135.598109610565,"western-hemlock",4186.09842901918,28367.8053578588,13559.8109610565,41927.6163189152,NA,NA,NA
"192",942,2019,57.001969,-132.755875,1900,"Sitka spruce",NA,114.566530707382,NA,57.2832653536909,0.5,28.6416326768455,"western-hemlock",NA,5728.32653536909,2864.16326768455,8592.48980305364,NA,NA,NA
"193",973,1997,56.042803,-131.525175,1700,"mountain hemlock",1.69514792122917,287.585411211397,0.847573960614587,143.792705605698,0.478,68.7329132795238,"mountain-hemlock",84.7573960614586,14379.2705605698,6873.29132795238,21252.5618885222,NA,NA,NA
"194",973,1997,56.042803,-131.525175,1700,"Alaska yellow-cedar",NA,252.192717735073,NA,126.096358867537,0.478,60.2740595386825,"mountain-hemlock",NA,12609.6358867537,6027.40595386825,18637.0418406219,NA,NA,NA
"195",973,1997,56.042803,-131.525175,1700,"western hemlock",NA,374.203207435507,NA,187.101603717754,0.507,94.8605130849011,"mountain-hemlock",NA,18710.1603717754,9486.05130849011,28196.2116802655,NA,NA,NA
"196",994,1997,55.48269,-132.686046,300,"western hemlock",NA,235.563037781451,NA,117.781518890725,0.507,59.7152300775978,"western-hemlock",NA,11778.1518890725,5971.52300775978,17749.6748968323,NA,NA,NA
"197",994,1997,55.48269,-132.686046,300,"western redcedar",83.0396102666624,757.371977483734,41.5198051333312,378.685988741867,0.504,190.857738325901,"western-redcedar",4151.98051333312,37868.5988741867,19085.7738325901,56954.3727067768,NA,NA,NA
"198",994,1997,55.48269,-132.686046,300,"Sitka spruce",NA,42.4855998428507,NA,21.2427999214254,0.5,10.6213999607127,"western-redcedar",NA,2124.27999214254,1062.13999607127,3186.4199882138,NA,NA,NA
"199",994,1997,55.48269,-132.686046,300,"western hemlock",NA,601.774553082838,NA,300.887276541419,0.507,152.549849206499,"western-redcedar",NA,30088.7276541419,15254.9849206499,45343.7125747918,NA,NA,NA
